seed,ifile_name,ifile_number,tpsExtermination,radiusInfestMax,SdM,SdC,SaM,SaC,deltaSa,deltaSd,actionManager,actionController,diffRisqueGlobal,infecteTotal,infecteVariete1,infecteVariete2
-159423178,polygon_gem1000_rep,5.0,180.0,8.0,0.4,0.1,0.1,0.2,0.0,0.0,true,true,0.5,0.0262,0.5381679389312977,0.14122137404580154
-1714491844,polygon_gem1000_rep,5.0,180.0,8.0,0.30000000000000004,0.1,0.5,0.2,0.1,0.05,true,true,0.5,2.0E-4,0.5,0.5
311655,polygon_gem1000_rep,5.0,180.0,8.0,0.30000000000000004,0.1,0.5,0.2,0.1,0.0,true,true,0.5,0.0528,0.4981060606060606,0.25946969696969696
961612697,polygon_gem1000_rep,5.0,180.0,8.0,0.30000000000000004,0.1,0.5,0.2,0.05,0.1,true,true,0.5,0.1135,0.4819383259911894,0.1973568281938326
-1185259631,polygon_gem1000_rep,5.0,180.0,8.0,0.30000000000000004,0.1,0.5,0.2,0.05,0.05,true,true,0.5,0.0382,0.46596858638743455,0.20418848167539266
1412414949,polygon_gem1000_rep,5.0,180.0,8.0,0.30000000000000004,0.1,0.4,0.2,0.05,0.1,true,true,0.5,0.0,0.0,0.0
1102385281,polygon_gem1000_rep,5.0,180.0,8.0,0.30000000000000004,0.1,0.1,0.2,0.0,0.05,true,true,0.5,0.0818,0.5158924205378973,0.2078239608801956
-1634786820,polygon_gem1000_rep,5.0,180.0,8.0,0.30000000000000004,0.1,0.1,0.2,0.0,0.0,true,true,0.5,0.0031,0.3870967741935484,0.2903225806451613
1732381006,polygon_gem1000_rep,5.0,180.0,8.0,0.2,0.1,0.5,0.2,0.05,0.05,true,true,0.5,0.0041,0.4634146341463415,0.2926829268292683
-136465846,polygon_gem1000_rep,5.0,180.0,8.0,0.2,0.1,0.5,0.2,0.0,0.0,true,true,0.5,0.0102,0.37254901960784315,0.20588235294117646
-570419976,polygon_gem1000_rep,5.0,180.0,8.0,0.1,0.1,0.4,0.2,0.05,0.0,true,true,0.5,0.0066,0.45454545454545453,0.18181818181818182
1204634981,polygon_gem1000_rep,5.0,180.0,8.0,0.1,0.1,0.30000000000000004,0.2,0.1,0.0,true,true,0.5,2.0E-4,0.0,1.0
577300322,polygon_gem1000_rep,5.0,180.0,8.0,0.1,0.1,0.2,0.2,0.1,0.05,true,true,0.5,1.0E-4,0.0,1.0
1465917058,polygon_gem10_rep,5.0,180.0,8.0,0.4,0.1,0.2,0.2,0.05,0.1,true,true,0.5,0.0406,0.7266009852216748,0.2512315270935961
-1571256874,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.2,0.2,0.0,0.1,true,true,0.5,0.0807,0.7087980173482032,0.26889714993804215
-1418332726,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.2,0.2,0.1,0.0,true,true,0.5,0.0531,0.672316384180791,0.2504708097928437
1348313231,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.2,0.2,0.1,0.05,true,true,0.5,0.0039,0.1282051282051282,0.07692307692307693
305636538,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.2,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
-1430469564,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.0,0.0,true,true,0.5,0.036,0.5972222222222222,0.03611111111111111
-224768737,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.0,0.05,true,true,0.5,0.1008,0.6388888888888888,0.3353174603174603
1505801237,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.0,0.1,true,true,0.5,2.0E-4,0.0,1.0
-1489140256,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.05,0.0,true,true,0.5,0.0805,0.6447204968944099,0.2422360248447205
1572463791,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.05,0.05,true,true,0.5,0.0207,0.4927536231884058,0.11594202898550725
320442024,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.05,0.1,true,true,0.5,0.0021,0.6666666666666666,0.3333333333333333
-2146821990,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.1,0.05,true,true,0.5,2.0E-4,1.0,0.0
1694301935,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.1,0.0,true,true,0.5,0.047,0.48936170212765956,0.06382978723404255
-2119519795,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.1,0.2,0.0,0.0,true,true,0.5,0.0,0.0,0.0
1673303795,polygon_gem10_rep,5.0,180.0,8.0,0.1,0.1,0.5,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
